departamento,monto,empresa_1,empresa_2,empresa_3,empresa_4,empresa_5
PASCO,"329,460.28",20529166151,20529119667,,,
PASCO,"165,304.96",20510591829,20604243221,,,
PASCO,"461,259.72",20511631760,20489734185,,,
PASCO,"188,521.93",20604063290,20601277078,,,
PASCO,"1,534,009.53",20515284177,,,,
PASCO,"216,481.93",10091754857,,,,
PASCO,"103,037.38",10805536867,,,,
PASCO,"6,537,074.64",20528924493,20529202998,,,
PASCO,"3,515,495.14",20568917147,20529014211,,,
PASCO,"114,318,830.30",20477530665,99000027401,20568688105,,
PASCO,"423,222.17",20604141673,20552960816,20486991381,,
PASCO,"3,019,438.63",20600101791,20601543738,20107211480,,
PASCO,"3,369,443.50",20489682363,20604243221,20600066839,,
PASCO,"110,657,590.88",20537169207,20486845725,20601169941,,
PASCO,"31,009,878.88",20419278875,99000027401,20419457290,,
PUNO,"365,970,467.28",99000027401,20601116082,,,
PUNO,"356,009,494.30",99000019646,,,,
TUMBES,"1,613,822.30",20409406182,20409211411,,,
TUMBES,"266,250.87",20409316868,20409487913,,,
TUMBES,"235,647.16",20525341438,,,,
TUMBES,"326,979.44",20525413871,20409339728,,,
TUMBES,"994,274.17",20525413871,20600560868,,,
TUMBES,"1,261,706.96",20409252363,20409285024,,,
TUMBES,"1,076,964.39",20601500494,20525491677,,,
TUMBES,"1,283,005.00",20367062283,,,,
TUMBES,"11,527,338.12",20480061595,20409408983,20154727826,,
TUMBES,"1,758,437.96",20479087360,,,,
TUMBES,"13,808,414.21",20542254158,20489532981,,,
TUMBES,"1,613,822.30",20409211411,20409406182,,,
TUMBES,"1,261,706.96",20409252363,20409285024,,,
TUMBES,"518,117.09",20367062283,20484033952,,,
TUMBES,"2,877,018.75",20525341438,,,,
TUMBES,"11,740,560.32",20534158069,20480789408,20487388697,,
TUMBES,"730,484.23",20409448187,,,,
AMAZONAS,"2,106,806.00",20270971891,,,,
AMAZONAS,"260,133.73",20479840688,,,,
AMAZONAS,"3,724,091.36",20561152005,20487499685,,,
AMAZONAS,"1,933,481.19",20480427913,,,,
AMAZONAS,"5,557,775.99",20480836252,20487499685,,,
AMAZONAS,"3,684,815.02",20453649840,20570818644,,,
AMAZONAS,"2,667,632.44",20600162412,20561152005,,,
AMAZONAS,"95,981,757.07",20563373009,99000027401,,,
AMAZONAS,"687,295.81",20479764728,,,,
AMAZONAS,"1,372,606.39",20480427913,,,,
AMAZONAS,"9,026,586.55",20480009755,20479790303,,,
AMAZONAS,"1,008,563.59",20600924169,20480590661,,,
AMAZONAS,"957,069.15",20539013441,20600924169,,,
AMAZONAS,"4,677,122.53",20539183878,20480214928,20148020966,,
AMAZONAS,"3,112,057.77",20494079713,20602570534,,,
AMAZONAS,"2,575,700.28",20603512040,20450119254,,,
AMAZONAS,"1,286,886.67",20523790324,,,,
AMAZONAS,"5,403,623.95",20450278051,20480836252,,,
AMAZONAS,"2,902,924.35",20450119254,20604115923,,,
AMAZONAS,"2,838,473.75",20570818644,20495973981,,,
AMAZONAS,"5,222,016.88",20450326713,,,,
AMAZONAS,"862,323.09",20539013441,,,,
AREQUIPA,"3,658,582.77",20600178271,99000028327,20545512662,20447909805,
AREQUIPA,"10,615,738.04",20191808241,20371131664,,,
AREQUIPA,"4,561,230.99",20456317376,20600044622,,,
AREQUIPA,"9,661,308.74",20534297930,20511866481,,,
AREQUIPA,"36,819,044.53",20447781655,,,,
AREQUIPA,"3,658,582.77",20548865604,99000027401,20393438941,,
AREQUIPA,"13,208,637.24",20485839462,99000027401,,,
AREQUIPA,"12,722,259.11",20450519783,20600408888,,,
AREQUIPA,"23,950,163.34",20548123888,20134676508,,,
AYACUCHO,"21,084,047.62",20486404273,,,,
AYACUCHO,"23,358,653.94",20486404273,,,,
AYACUCHO,"26,760,604.24",20494740673,,,,
AYACUCHO,"116,384,990.91",20604032246,,,,
CALLAO,"9,815,159.92",20478157976,,,,
CALLAO,"9,626,076.48",20511317038,20571493374,,,
CALLAO,"6,442,046.33",20516080206,20478157976,20493043073,20522385442,
CALLAO,"11,170,248.83",20516080206,20493043073,,,
